2026-06-14 20:21:36, MOVE, v:1, k:fup@xuxa, mode:PICK
2026-06-14 20:21:38, EXEC, v:1, k:fup@xuxa, mode:FULL, size:4, fail:COMP
2026-06-14 20:23:30, MOVE, v:1, k:fup@xuxa, mode:BACK
2026-06-14 20:23:39, MOVE, v:1, k:fup@ru, mode:DOWN
2026-06-14 20:23:40, MOVE, v:1, k:fup@ru, mode:PICK
2026-06-14 20:23:39, MOVE, v:1, k:fup@ru, mode:EDIT
2026-06-14 20:23:39, MOVE, v:1, k:fup@ru, mode:EDIT
2026-06-14 20:26:14, MOVE, v:1, k:fup@ru, mode:EDIT
2026-06-14 20:30:41, MOVE, v:1, k:fup@ru, mode:EDIT
2026-06-14 20:33:01, MOVE, v:1, k:fup@ru, mode:EDIT
